Comment,Label
Cho em hỏi tỉnh Quảng Ninh thuộc vùng Đồng bằng Sông Hồng là đúng hay sai? Cảm ơn anh chị đã duyệt câu trả lời!,1
"Ngày xưa đi học nếu không hiểu bài hoặc nghe chưa rõ""thầy bảo nói thầy để thầy giảng lại""nhưg chỉ sợ ngại không giám bảo thầy nói thầy giảng lại thôi.Nhưng thời nay đi hoc không nghe rõ hoặc chưa hiểu bài giơ tay bảo thầy giảg lại là bị đuổi.thầy cô bây giờ khác ngay xưa quá.",1
Thứ thầy nói chuyện mất dạy vậy thì cho thầy khỏi dạy luôn ha.,0
Thầy đuổi học sinh xong thì chợt nhận ra học sinh mình vừa mới đuổi là con hiệu trưởng. !?,1
Nhiều thầy cô nên cho nghỉ dạy đi,0
Học sinh nói chuyện lễ phép ngược lại thầy giáo nói chuyện như một thằng vô học,0
"mọi cử chỉ , hành động , lời nói của thầy cô .Học sinh nó soi kỹ lắm nên là muốn tồn tại trong môi trường nhà giáo thì hãy là cái gương tốt ,lịch sự ,đạo đức .",0
Thầy giáo vô liêm sỉ vô đạo đức,0
Giữa nhà trường và thầy giáo ăn chia không đồng đều nên thầy bất mãn,0
"Giáo viên gì nói chuyện kì cục, thiếu trách nhiệm, thiếu đạo đức",0
Thấy giáo này thiếu nhẫn cách nhận phẩm rồi,0
Làm gái cũng vào bình luận chuyện của Sinh viên... Chán..,0
"Giảng viên đại học SƯ PHẠM kỹ thuật cơ đấy, một trời nhân cách nha, đạo đức quá kém!",0
Đuổi việc ông thầy này và tặng kèm sách đạo đức lớp 1,0
Ra ngoài đời thầy cô BH còn khốn nạn hơn nhìu...,0
Tui nghĩ là nên tặng ổng sách giáo dục công dân và nếu ổng bảo không nghe thấy tiếng thì tặng ông vé đi kiểm tra tai và kèm thêm sách đạo đức lớp 1 để ông học lại,0
"Ông thầy khốn nạn vậy.
Xúc phạm danh dự,nhân phẩm,của người khác.",0
"Lẽ ra trình độ càng cao thì văn hoá càng cao nhưng ông thầy này lại Ko như vậy. Làm thầy trước hết là tấm gương cho học sinh về đạo đức, văn hoá.",0
Thầy bị khùn hay điên,0
"Lớp tôi:thầy/cô ơi mạng em nó lag/mưa to quá em không nghe rõ /loa bên em bị hư, lỗi... /mic thầy bị rè...... Thầy giảng lại được không thầy?
Nhưng mà thầy cô lớp tui không gắt nhưng thầy này",1
Thầy giáo ăn nói như chợ búa .bến xe vậy trời.,0
Thằng thầy cà chớn,0
Thầy kì cục,0
"Trường kiểu:Chúc mừng thầy,thầy đã quay vào ô MẤT VIỆC",0
Thầy này tui gặp  vậy tui đập iphone thầy,0
Ko thể chấp nhận được thầy giáo như vậy.,0
Giữ kiến thức mày xài luôn đi thằng thầy giáo trong clip,0
Cái Này Thầy Dậy Chùa Hay Tốn Phí Vậy Các Các Anh Chị,1
"Tôi là tôi sẽ nói với ông thầy như này nè 
Ờ cảm ơn thầy em đi học thầy lộc phù hồ đây",2
"THẦY:để thầy kick thằng này nhe
Tui:*Bị kick*
Thầy:khỏi học đê
Tui:cẻm ơn thầy nha khỏi học zùi zui qué đê",2
Bảo vệ quyền lợi học sinh hay là mày,0
Nhà trường không nuốn mất uy tín thì đuổi thầy giáo là xong.,0
Học sinh giỏi hay yếu 1 phần là do cách dạy của thầy cô tự nhiên chửi thằng nhỏ 1 cách vô cớ vậy. Thằng nhỏ ham học nó lấy cam đảm để hỏi ông.không thấy tự hào vì có trò ham học thôi còn tự tay cắt dứt thế hệ. Tôi coi cái này quá bức xúc. Ngày xưa tôi ham chơi chả bao giờ học bài gì cả biết hay không tôi cũng không dám hỏi vậy mà thầy tôi tới từng bàn thành viên giảng đi giảng lại nhưng chưa từng trách mắng chỉ gọi tôi lên bảng làm bài tập nhiều hơn thôi. Lâu lâu thì bao cả lớp đi ăn dù lương mình có ít . Nhưng không bao giờ tạo khoảng cách với bất cứ thành viên nào trong lớp. Tới thi thì điểm số môn thầy không ai dưới điểm 6 mà lớp thuộc dạng yếu trung bình. thầy tôi mới xứng đáng làm thầy. Gặp ông thầy trên clip chắc tôi ở lại lớp hoặc nghĩ học rồi. Cám ơn định mệnh sắp đặt để em và cả lớp làm học trò của thầy ️ . nếu thầy có đọc được dòng chat của em thì: em đậu vô trường đại học rồi thầy ơi ((: kĩ sư ô tô tương lai nha thầy,1
"Thầy nói chuyên giống vô học quá, về nhà chăn trâu thì đúng nhe thầy.",0
Thầy giáo gì mà hung dữ còn đuổi học sinh ra khỏi lớp,0
Thầy giáo đây sao mất dại  quá,0
"Ko có học sinh , sinh viên thì cái lũ giảng viên , giáo viên như cái thằng trong video đel có tiền ăn cơm nha
Phải bik nâng niu miếng cơm của mình hiểu không người giảng viên có kiến thức mà đel có đạo Đức",0
Chắc thầy đang gặp chuyện bùn ạ,1
Hoc on lai kieu nay nghi me no di rac roi con toi bi nghien dt vi cai toi onlai,0
Thầy vậy,1
Thầy hl vậy,0
Giáo viên kiểu này thì nghỉ học mẹ i,0
Nhờ có thầy mà học sinh ra trường thất nghiệp hết. Cảm ơn thầy..,0
Đuổi rồi tặng sách đạo đức lớp 6 cho học lại đi,0
Gặp tui nãy giờ chữi,0
Không là người bình thường thì là người thực vật hả thầy,0
giáo viên bị sao ý,0
mình,1
Thầy giáo như đb không nghe thì giản lại  cho học sinh nghe,0
28 cười ỉa đoạn này ông thầy,2
