Comment,Label
Cô tui khác lắm.,1
xúc động quá,2
có cái văn này nhai đi nhai lại,0
Nghe muốn khóc luôn,0
Tôi đã khóc rồi,0
Hay wá cô ơi.em thề quãng đời học sinh của em chưa bao giờ được như zầy á,2
ê chưa tắt cái quạt,1
Thật xúc động,2
"Mình còn nhớ ngày cuối cùng hồi lớp năm, cô cho bọn mình một bài tập là ""có thể về sau các con có thể thành bất kỳ ai nhưng hãy luôn là một người tử tế, hãy luôn tin vào chính mình và khi tổn thương, các con có thể tìm đến người thân, bạn bè hoặc cô để chia sẻ"". Lúc đó về nhà, mình cứ khóc mãi, giờ xem video này, mình lại khóc một lần nữa vì nhớ đến cô.",0
trời ơi muốn khóc luôn á,0
ngu vãi,0
Quên tắt quạt kìa,0
Ai quay video,0
Nhớ mãi kỉ niệm ấy,2
Chỉ còn mấy tháng nữa tạm biệt cô giáo rồi,2
Buồn quá đi,0
Hôm nay là ngày cuối cùng gặp cô vì cô nghỉ hưu.,0
xúc động thật các bạn!,2
Bài tập cuối cùng của cô giáo với học trò,2
Mãi nhớ những khoảnh khắc thầy cô dạy,2
Nhìn mà muốn khóc luôn á,0
Tội nghiệp cô quá à,0
Tôi,1
"Cảm động quá 
Coi mà rớt nước mắt",0
Tôi đã khóc…,0
Vì cuộc đời mà những lúc buồn hay là những lúc cãi vã hay là những lúc vui ở trường,1
Tôi rơi nước mắt rồi,2
Tôi cảm thấy thật buồn,0
"Cuộc đời chúng ta chỉ bắt đầu bằng 1 cái chớp mắt thôi là chúng ta đã bắt đầu trưởng thành rất nhiều. Coi xong hết thì tui kiểu: . Dù sao thì tụi mình cũng phải tri ân mái trường thân yêu, những ghế đá và hàng cây quen thuộc thôi và sẽ lưu giữ mãi mãi trong lòng chúng ta như 1 kỉ niệm khó phai tàn. Và mình cũng chúc thầy cô giữ gìn đầy sức khoẻ nhé ️️️️",1
Tuổi học trò trôi qua thật rồi ư???,2
Thực ra tôi chưa làm tôi,1
Khóc,0
Huhu,0
huhuuuuuuuuuuuuuu,0
Nhớ ngày xưa quá trời,2
Đó là một kỷ niệm đẹp!,2
Huhu nhìn cô khóc làm tôi nhớ ra cô tôi khóc khi sang cấp khác mất tiêu rồi huhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhu 1:47,0
"Nhớ trường,nhớ lớp nhớ bạn bè tất cả giờ chỉ còn là hoài niệm mà thôi",0
Buồn thật sự,0
chỉ là 1 bài tập nhưng nó chan chứa hàng ngàn giọt nước mắt của hs khi phải xa cô giáo dạy mình suốt năm trời,2
Xem muốn khóc,0
Ôi hoài niệm quá vẫn nhớ ngày hôm đó,2
Các bạn ơi hãy giữ liên lạc với cô giáo nha,2
sớm ghim em,1
bản lĩnh lên vì đây mới chỉ là khởi đầu của những cuộc chia tay của cuộc đời thôi ....,1
lớp 8 tui nghỉ học đi làm rồi nên thấy cũng bình thường,1
Buồn quá,0
