Comment,Label
cảm ơn thầy,2.0
học từ vựng bài 1 xong học ngữ pháp luôn à thầy,1.0
thầy có dạy online không ạ,1.0
thầy ơi e muốn mua bộ sách trọn bộ cho người mới bắt đầu ạ,1.0
em muốn đăng ký khóa học ạ,1.0
"thầy à, em đã đạt n4 kì thi tháng 122024 rồi ạ, em cảm ơn thầy nhiều",2.0
"thầy ơi , em đã học xong 2 bảng chữ cái hiragana và katakani thì tiếp theo nên học giáo trình minna no nihongo hay là học kanji kèm từ vựng trước a.",1.0
bài 1 dễ qué,2.0
bài một xem anime là hiểu lọt lòng hết,2.0
có bán sách n5 theo bài giảng không thầy,1.0
thầy ơi mình học từ vựng bài 1 xong rồi tới ngữ pháp bài 1 luôn hả thâỳ,1.0
thầy dạy hay quá . sau bài tổng kết lại cho mọi ng dễ hiểu,2.0
cho e hỏi. mình có lớp học online không ạ,1.0
sao không dạy từ vựng chung luôn ạ,1.0
thầy cho em hỏi học n5 là giờ xem video từ vựng (chị trà)  và ngữ pháp (thầy)  riêng phải không thầy.,1.0
thầy tiệp dạy rất dễ hiểu luôn . không chỉ dạy kiến thức tận tâm mà còn tạo động lực để tụi em cố gắng nữa . chúc thầy và đội ngũ minato ngày càng phát triển ạ,2.0
series này thầy dạy bản mới hay cũ của minnano nihongo ạ?,1.0
"Lần đầu tiên em coi thầy dạy miễn phí mà dễ hiểu cuốn luôn ý. Em học N5 rồi mà không vào đầu được cái gì, không biết gì luôn, học đi học lại chán, không muốn học nữa. Đến hôm nay nghe thầy dạy mà lại chịu nghe từ đầu luôn, dễ hiểu dã man. Em cũng muốn học thầy lắm nhưng em vừa đi làm tối về chăm con nhỏ, chỉ rảnh từ 10h khuya nên chỉ coi video như này thôi. Nếu thầy có dạy kèm và có phương pháp học như thế nào đối với trường hợp như em, thầy có thể chỉ dạy em không ạ?",2.0
"thầy dạy rất dễ hiểu ạ. e muốn học lớp của thầy lắm mà e làm đảo ca không có thời gian cố định, nên chỉ có thể nên youtube nghe thầy giảng thôi ạ. cảm ơn thầy rất nhiều ạ! chúc thầy luôn mạnh khỏe vui vẻ và thành công.",2.0
"thầy có đăng video từ vựng của thầy trà. thầy trà phát âm rất chuẩn nhật, em có thể học theo nha",2.0
đúng rồi em nhé!,1.0
thầy cảm ơn em nhiều. chúc em sớm chinh phục được hết kiến thức n5 nha,2.0
bản mới nhé em!,1.0
học theo giáo trình này thì mình chuẩn bị sách gì cho n5 ạ,2.0
"thầy này quá tâm huyết. không chỉ dạy đủ cả ngữ pháp, từ vựng ở ngưỡng n5 là cái ngưỡng trẻ em học ngôn ngữ rất chi tiết mà còn dặn dò cẩn thận, giúp nhiều người như em không cần phải đi học ở ngoài. ",2.0
sao lại mina phải là minna chứ,1.0
dạ em cảm ơn thầy ạ,2.0
"đăng kí học một trung tâm khác, học bài một họ dạy lướt quá và hơi khó hiểu nên lên ytb tìm, thấy bài giảng ngữ pháp của thầy và trà thầy giảng từ vựng dễ hiểu quá huhu tiếc quá. em cảm ơn các thầy đã đăng những bài giảng dễ hiểu như thế này ạ..",2.0
"cảm ơn thầy rất nhiều 
mình là đứa chậm tiêu nhất nhưng nghe thầy giảng là khoái học",2.0
em bắt đầu học,1.0
thầy dạy hay quá,2.0
thầy oi làm sao biết tên tiếng nhật ạ,1.0
"dạ thầy đang dạy ngữ pháp n5 ạ,, học xong 2 bảng chữ cái katakana và hiragana nên học gì tiếp theo ạ, e cảm ơn ạ",1.0
cảm ơn thầy,2.0
thầy này dạy dễ hiểu mặc dù mình học tận 2 tháng đến khi định bỏ thì ông này là động lực của tôi,2.0
"thầy ơi, thầy có nhận dạy kèm online 1-1 không ạ",1.0
dạ thầy oi cho e hỏi câu cỏi có từ để hỏi có bỏ chủ ngữ khi nói được không ạ,1.0
thầy dạy dễ hiểu thực sự,2.0
"thầy dạy dễ hiểu, sâu sắc câu từ. thật sự rất xúc động khi mình đã bỏ 1 time khá dài không sử dụng tiếng nhât, mà nay vô tình thấy được thầy hướng dẫn lại bài đầu, nghe tới đâu là nhớ tới đó. biết ơn bài giảng của thầy. chúc thầy nhiều sức khỏe, vui vẻ và bình an",1.0
"thật là may mắn thầy lấy lại được kênh, thật may mắn e bắt đầu học thì xem được video của thầy, ",2.0
minano nihongo nhé em!,1.0
thầy cảm ơn chia sẻ cực kì ý nghĩa của em  được chia sẻ kiến thức với thầy đó là niềm vui. được các bạn tin tưởng đồng hành mỗi ngày đó là niềm vinh dự. hi vọng những video thầy đăng trên kênh đều sẽ có ích cho em,2.0
đúng rồi em ơi minna là tên của giáo trình em à.,1.0
uki em nhé,1.0
cảm ơn bạn nhiều  hi vọng những video này sẽ giúp cho bạn thêm yêu thích tiếng nhật,2.0
